competition,date,match,video,log
RC25,2025-07-16,HULKs_WisTex-United,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldB/pi112_2025-07-16_19_01_33_24_vs_54.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldB/log_2025-07-16_15-00-55_HULKs_WisTex-United.yaml
RC25,2025-07-16,SPQR-Team_WisTex-United,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldB/pi112_2025-07-16_21_58_26_54_vs_19.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldB/log_2025-07-16_17-56-19_WisTex-United_SPQR-Team.yaml
RC25,2025-07-16,SPQR-Team_WisTex-United,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldB/pi112_2025-07-16_22_21_21_54_vs_19.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldB/log_2025-07-16_18-19-35_WisTex-United_SPQR-Team.yaml
RC25,2025-07-17,HTWK-Robots_RoboEireann,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldE/pi115_2025-07-17_20_32_59_17_vs_13.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldE/log_2025-07-17_16-32-16_RoboEireann_HTWK-Robots.yaml
RC25,2025-07-17,HTWK-Robots_RoboEireann,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldE/pi115_2025-07-17_20_55_42_13_vs_17.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldE/log_2025-07-17_16-32-16_RoboEireann_HTWK-Robots.yaml
RC25,2025-07-17,HULKs_B-Human,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldE/pi115_2025-07-17_18_07_12_24_vs_5.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldE/log_2025-07-17_13-41-53_B-Human_HULKs.yaml
RC25,2025-07-17,Nao-Devils_Berlin-United,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldE/pi115_2025-07-17_15_52_38_4_vs_12.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldE/log_2025-07-17_11-50-26_Nao-Devils_Berlin-United.yaml
RC25,2025-07-17,Nao-Devils_Berlin-United,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldE/pi115_2025-07-17_16_15_24_12_vs_4.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldE/log_2025-07-17_11-50-26_Nao-Devils_Berlin-United.yaml
RC25,2025-07-17,Nao-Devils_HULKs,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldC/pi113_2025-07-17_23_35_39_12_vs_24.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldC/log_2025-07-17_19-30-44_Nao-Devils_HULKs.yaml
RC25,2025-07-17,Nao-Devils_HULKs,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldC/pi113_2025-07-18_00_11_53_24_vs_12.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldC/log_2025-07-17_19-30-44_Nao-Devils_HULKs.yaml
RC25,2025-07-17,Nao-Devils_HULKs,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldC/pi113_2025-07-18_00_21_21_24_vs_12.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldC/log_2025-07-17_19-30-44_Nao-Devils_HULKs.yaml
RC25,2025-07-17,Nao-Devils_RedBackBots,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldB/pi112_2025-07-17_19_51_01_51_vs_12.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldB/log_2025-07-17_15-50-01_Nao-Devils_RedBackBots.yaml
RC25,2025-07-17,Nao-Devils_RedBackBots,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldB/pi112_2025-07-17_20_17_34_12_vs_51.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldB/log_2025-07-17_15-50-01_Nao-Devils_RedBackBots.yaml
RC25,2025-07-17,Naova_RedBackBots,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldA/pi111_2025-07-17_22_12_29_51_vs_45.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldA/log_2025-07-17_18-02-41_RedBackBots_Naova.yaml
RC25,2025-07-17,Naova_RedBackBots,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldA/pi111_2025-07-17_22_22_06_51_vs_45.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldA/log_2025-07-17_18-02-41_RedBackBots_Naova.yaml
RC25,2025-07-17,Naova_RedBackBots,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldA/pi111_2025-07-17_22_27_32_51_vs_45.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldA/log_2025-07-17_18-02-41_RedBackBots_Naova.yaml
RC25,2025-07-17,Naova_RedBackBots,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldA/pi111_2025-07-18_01_18_07_51_vs_45.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldA/log_2025-07-17_21-08-02_RedBackBots_Naova.yaml
RC25,2025-07-17,Naova_RedBackBots,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldA/pi111_2025-07-18_01_35_56_51_vs_45.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldA/log_2025-07-17_21-34-26_RedBackBots_Naova.yaml
RC25,2025-07-17,RedBackBots_Dutch-Nao-Team,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldB/pi112_2025-07-17_18_07_41_8_vs_51.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldB/log_2025-07-17_14-05-26_Dutch-Nao-Team_RedBackBots.yaml
RC25,2025-07-17,RedBackBots_Dutch-Nao-Team,https://logs.berlin-united.com/2025-07-15_RC25/videos/FieldB/pi112_2025-07-17_18_11_25_8_vs_51.mp4,https://b-human.informatik.uni-bremen.de/public/logs/2025/RoboCup/gc/FieldB/log_2025-07-17_14-05-26_Dutch-Nao-Team_RedBackBots.yaml
